frame,DetObj#,x,y,z,v,Azimuth,Elevation,snr,noise
0,0,0.0,0.7801563143730164,0.32175856828689575,0.0,0.0,22.41263830250262,179,396
0,1,-0.23734773695468903,0.6561270356178284,-0.47469547390937805,0.0,-19.88711048769065,-34.228865124472534,179,396
0,2,0.0,1.0250383615493774,0.24912983179092407,0.038847148418426514,0.0,13.66055011450454,197,454
0,3,0.0,1.0347541570663452,0.20506857335567474,0.07769429683685303,0.0,11.209682855440075,157,405
0,4,0.026371970772743225,0.7918149828910828,0.2906991243362427,-0.07769429683685303,1.9075722545534985,20.149433415404832,165,413
0,5,0.03296496346592903,0.9864058494567871,0.3724059760570526,-0.038847148418426514,1.914070767673175,20.672877414929516,226,440
1,0,-0.16482481360435486,1.0348937511444092,0.12081865966320038,0.0,-9.04934384269814,6.576701834714829,200,431
1,1,-0.13185985386371613,1.0309239625930786,0.18049444258213043,0.038847148418426514,-7.288814890460389,9.852038646401015,228,504
1,2,-0.13185985386371613,1.0292437076568604,0.18984119594097137,0.07769429683685303,-7.30058571127679,10.367717326541042,207,440
1,3,-0.19778978824615479,1.0277458429336548,0.13185985386371613,0.11654144525527954,-10.893395121427442,7.180755818331867,143,406
1,4,0.0,1.0213819742202759,0.26371970772743225,0.15538859367370605,0.0,14.477513042655318,75,393
1,5,-0.19778978824615479,1.0340927839279175,0.06557869911193848,-0.11654144525527954,-10.828120182277543,3.564207735671204,114,409
1,6,-0.13185985386371613,1.0302698612213135,0.1841910183429718,-0.07769429683685303,-7.293392627405087,10.055887563743495,177,426
1,7,-0.13185985386371613,1.032038927078247,0.17400583624839783,-0.038847148418426514,-7.281024957639099,9.49452643837802,233,471
1,8,0.0,2.0921623706817627,-0.271907776594162,-0.038847148418426514,0.0,-7.404937250769193,89,427
2,0,-0.16482481360435486,1.0327388048171997,0.13803181052207947,0.0,-9.067913078731436,7.518763169371604,203,427
2,1,-0.13185985386371613,1.0419163703918457,0.0989571139216423,0.038847148418426514,-7.212730655264679,5.382773857189159,218,511
2,2,-0.14504584670066833,2.3108534812927246,-0.15723168849945068,0.038847148418426514,-3.5915850759587977,-3.8848141888781313,92,467
2,3,-0.16482481360435486,1.0380210876464844,0.09007953852415085,0.07769429683685303,-9.022529245125032,4.8986390910293975,195,446
2,4,-0.13185985386371613,1.0319862365722656,0.17431804537773132,0.11654144525527954,-7.281392718042701,9.511720062167784,121,420
2,5,-0.26371970772743225,1.015652060508728,0.10803687572479248,0.15538859367370605,-14.555729484475469,5.878334207638306,81,411
2,6,-0.09889489412307739,1.0431947708129883,0.12138327956199646,-0.11654144525527954,-5.415457253891605,6.607573328370734,109,409
2,7,-0.13185985386371613,1.046593189239502,0.005011245142668486,-0.07769429683685303,-7.1808369540109664,0.2721869631925641,175,424
2,8,-0.13185985386371613,1.0456199645996094,0.04539946839213371,-0.038847148418426514,-7.187450747801892,2.4666356512611234,215,484
3,0,-0.16482481360435486,1.0349518060684204,0.1203201562166214,0.0,-9.048844624918312,6.549447122471037,214,411
3,1,-0.13185985386371613,1.0429171323776245,0.08778459578752518,0.038847148418426514,-7.205882252485453,4.773543868725231,224,503
3,2,-0.13185985386371613,1.041794776916504,0.10022947937250137,0.07769429683685303,-7.213563624623135,5.452192338125788,202,438
3,3,-0.16482481360435486,1.0330668687820435,0.13555395603179932,0.11654144525527954,-9.06508126674138,7.383032961385599,135,405
3,4,-0.03296496346592903,1.032466173171997,0.2137671560049057,0.11654144525527954,-1.8287396821086679,11.691742015962575,135,405
3,5,-0.16482481360435486,1.0398343801498413,-0.06592992693185806,0.15538859367370605,-9.007053661022887,-3.583321437062192,78,395
3,6,0.0,1.0493319034576416,0.10803687572479248,-0.11654144525527954,0.0,5.87833354139408,127,395
3,7,-0.09889489412307739,1.0500551462173462,0.019321383908391,-0.07769429683685303,-5.380284489454445,1.0495003217006602,181,416
3,8,-0.09889489412307739,1.0492885112762451,0.04453061521053314,-0.038847148418426514,-5.384192359284385,2.4194005863867174,224,476
4,0,-0.16482481360435486,1.0378836393356323,0.09164993464946747,0.0,-9.023704451307166,4.984253296816545,198,408
4,1,-0.13185985386371613,1.0402002334594727,0.11561025679111481,0.038847148418426514,-7.224504692885594,6.292014167167095,244,474
4,2,-0.13185985386371613,1.0378080606460571,0.13541319966316223,0.07769429683685303,-7.2409808036784105,7.375323670869954,218,414
4,3,-0.13185985386371613,1.0395013093948364,0.12173451483249664,0.11654144525527954,-7.229310821298743,6.626779057973783,122,404
4,4,-0.19778978824615479,1.0358961820602417,0.023822980001568794,-0.11654144525527954,-10.809713961386963,1.2940560497800393,102,408
4,5,-0.13185985386371613,1.043367624282837,0.08225853741168976,-0.11654144525527954,-7.202803672038438,4.472415413314649,102,408
4,6,-0.09889489412307739,1.0500249862670898,0.020898427814245224,-0.07769429683685303,-5.380438120881819,1.1351730471850905,184,417
