frame,DetObj#,x,y,z,v,Azimuth,Elevation,snr,noise
0,0,0.14420504868030548,1.5283920764923096,-0.09613669663667679,0.0,5.389947778138152,-3.5833217000679802,75,410
0,1,0.28841009736061096,1.5106514692306519,-0.027776876464486122,0.03864889591932297,10.808706627786226,-1.0347143196543558,156,455
0,2,0.48068347573280334,3.0198514461517334,-0.3369271755218506,0.03864889591932297,9.044156369557593,-6.2876961605976,39,446
0,3,0.14420504868030548,1.531288981437683,-0.01946125738322735,0.07729779183864594,5.379810913736638,-0.7249297635011758,87,439
0,4,0.28841009736061096,1.4933193922042847,-0.22986245155334473,-0.07729779183864594,10.931151515306818,-8.594315149557508,99,437
0,5,0.24034173786640167,1.5124363899230957,-0.14419423043727875,-0.03864889591932297,9.02939048092069,-5.378974085614208,163,460
0,6,0.5768201947212219,2.9972455501556396,-0.38454678654670715,-0.03864889591932297,10.893395023819188,-7.180755839534236,48,441
0,7,0.9613669514656067,2.9214766025543213,-0.06947565823793411,-0.03864889591932297,18.21476512647763,-1.2940559443779749,48,441
1,0,0.14420504868030548,1.5224313735961914,-0.1656123548746109,0.0,5.410925775787825,-6.180859023031075,109,394
1,1,0.24034173786640167,1.5152666568756104,-0.11055594682693481,0.03864889591932297,9.012802169409463,-4.121641208339816,145,462
1,2,0.38454678654670715,2.880650758743286,1.008986473083496,0.03864889591932297,7.6036330828903615,19.146161014779093,39,445
1,3,0.09613669663667679,2.729745388031006,1.4153894186019897,0.03864889591932297,2.017020112591369,27.39250257241094,39,445
1,4,0.24034173786640167,1.5180532932281494,-0.061398863792419434,0.07729779183864594,8.996528529967863,-2.2876478823980793,91,444
1,5,0.33647844195365906,1.4958597421646118,-0.12330988049507141,0.07729779183864594,12.67710230939946,-4.598091661075799,91,444
1,6,0.19227339327335358,1.4899357557296753,-0.33036676049232483,-0.07729779183864594,7.35327274046457,-12.402426878063721,119,436
1,7,0.24034173786640167,1.5094850063323975,-0.17236709594726562,-0.03864889591932297,9.046753282715187,-6.433998607580124,169,459
1,8,0.48068347573280334,3.0198514461517334,-0.3369271755218506,-0.03864889591932297,9.044156369557593,-6.2876961605976,47,444
2,0,0.3244613707065582,1.095312476158142,0.16093942523002625,0.0,16.500723010733214,8.019245170039722,150,420
2,1,0.43261516094207764,2.17734694480896,0.6289269328117371,0.0,11.237695505802098,15.818064822944377,54,415
2,2,0.19227339327335358,1.5250859260559082,-0.05624590069055557,0.03864889591932297,7.18558657534785,-2.0955650980407254,113,455
2,3,0.14420504868030548,1.5040093660354614,0.28841009736061096,0.07729779183864594,5.4768014719101785,10.806923269701809,34,448
2,4,0.5768201947212219,2.7929322719573975,-1.1536403894424438,-0.19324448704719543,11.669147149794174,-22.024313982396095,39,435
2,5,0.8652302622795105,2.814246654510498,-0.891891360282898,-0.19324448704719543,17.089862004708472,-16.852951976521357,39,435
2,6,0.3244613707065582,1.101723551750183,0.10870236158370972,-0.07729779183864594,16.409882388251603,5.4067451859665985,109,446
2,7,0.2523588240146637,1.1103445291519165,0.1853005737066269,-0.03864889591932297,12.804648542613167,9.243028332478724,144,482
