frame,DetObj#,x,y,z,v,Azimuth,Elevation,snr,noise
0,0,-0.09889489412307739,1.0456510782241821,0.09799477458000183,0.0,-5.4028113312767525,5.330274863838426,212,409
0,1,-0.03296496346592903,1.0487085580825806,0.10905485600233078,0.038847148418426514,-1.8004349729084774,5.933920560485496,259,480
0,2,-0.03296496346592903,1.047398567199707,0.12099108099937439,0.07769429683685303,-1.802685308409154,6.586129490436711,224,425
0,3,0.0,1.0471128225326538,0.12776580452919006,0.11654144525527954,0.0,6.9566840602318045,150,402
0,4,0.0,1.0433274507522583,0.15568283200263977,0.15538859367370605,0.0,8.486919558344967,87,406
0,5,0.0,1.0433274507522583,0.15568283200263977,-0.15538859367370605,0.0,8.486919558344967,74,405
0,6,0.0,1.044189453125,0.1497925966978073,-0.11654144525527954,0.0,8.163583054007402,133,398
0,7,0.0,1.0471128225326538,0.12776580452919006,-0.07769429683685303,0.0,6.9566840602318045,211,410
0,8,0.0,1.0480029582977295,0.1202460527420044,-0.038847148418426514,0.0,6.5453960209407285,256,463
1,0,-0.06592992693185806,1.0423851013183594,0.14783722162246704,0.0,-3.619086047150234,8.056304400603382,199,407
1,1,0.0,1.0527944564819336,0.06628115475177765,0.038847148418426514,0.0,3.602436204648174,253,447
1,2,0.0,1.0525981187820435,0.0693296492099762,0.07769429683685303,0.0,3.7683583943659893,199,412
1,3,0.0,1.054878830909729,0.0,0.11654144525527954,0.0,0.0,100,413
1,4,-0.03296496346592903,1.046041488647461,-0.13221107423305511,-0.11654144525527954,-1.8050224702819353,-7.199983856740365,120,391
1,5,0.0,1.0524613857269287,-0.07137534022331238,-0.07769429683685303,0.0,-3.879718106776997,183,408
1,6,0.0,1.0547468662261963,-0.016683019697666168,-0.038847148418426514,0.0,-0.9061765897782432,232,457
2,0,0.0,1.0546621084213257,-0.021385474130511284,0.0,0.0,-1.161632253986423,193,423
2,1,0.03296496346592903,1.0480715036392212,0.11501698195934296,0.038847148418426514,1.8015286192031905,6.259595602201694,250,455
2,2,0.0,1.0476493835449219,0.12328902631998062,0.07769429683685303,0.0,6.711787268751145,194,416
2,3,0.0,1.0433274507522583,0.15568283200263977,0.11654144525527954,0.0,8.486919558344967,114,404
2,4,0.03296496346592903,1.0505365133285522,-0.08975290507078171,-0.15538859367370605,1.7973042353544808,-4.880833361204998,76,406
2,5,-0.06592992693185806,1.0251206159591675,-0.2398967295885086,-0.15538859367370605,-3.6798704967782325,-13.145010316054522,76,406
2,6,0.0,1.054878830909729,0.0,-0.11654144525527954,0.0,0.0,116,417
2,7,0.03296496346592903,1.0540642738342285,0.02512400411069393,-0.07769429683685303,1.7912929120006338,1.36474015215795,227,422
2,8,0.03296496346592903,1.0534313917160034,0.04432925954461098,-0.038847148418426514,1.7923683859327317,2.4084543277090997,262,467
3,0,0.0,1.0508780479431152,-0.09178680181503296,0.0,0.0,-4.991715253534597,188,393
3,1,0.0,1.0492593050003052,0.10873925685882568,0.038847148418426514,0.0,5.916686640474942,244,442
3,2,0.0,1.0466203689575195,0.13173933327198029,0.07769429683685303,0.0,7.1741576825266655,183,402
3,3,0.0,1.0433274507522583,0.15568283200263977,0.11654144525527954,0.0,8.486919558344967,103,410
3,4,0.09889489412307739,1.031440019607544,0.19778978824615479,0.11654144525527954,5.476801061132866,10.80692248064857,103,410
3,5,0.0,1.0433274507522583,0.15568283200263977,-0.11654144525527954,0.0,8.486919558344967,104,412
3,6,0.0,1.0534782409667969,0.05434150621294975,-0.07769429683685303,0.0,2.9528676910278855,185,416
3,7,0.0,1.0515944957733154,0.08317658305168152,-0.038847148418426514,0.0,4.522433429074039,246,448
4,0,0.0,1.0548267364501953,-0.010489660315215588,0.0,0.0,-0.5697556137960053,178,383
4,1,0.0,1.0472077131271362,0.12698538601398468,0.038847148418426514,0.0,6.913983415284702,258,438
4,2,0.0,1.0433274507522583,0.15568283200263977,0.11654144525527954,0.0,8.486919558344967,99,414
4,3,0.0,1.054878830909729,0.0,-0.11654144525527954,0.0,0.0,104,411
4,4,-0.06592992693185806,1.049443006515503,0.08421389013528824,-0.11654144525527954,-3.594810350631657,4.578952913958324,104,411
4,5,0.0,1.0485718250274658,0.11518001556396484,-0.07769429683685303,0.0,6.268504426145636,212,404
4,6,0.0,1.0491397380828857,0.10988686978816986,-0.038847148418426514,0.0,5.979356678125757,271,433
5,0,0.09889489412307739,1.0394450426101685,0.1501438170671463,0.0,5.434876385142759,8.182855624719613,177,386
5,1,0.03296496346592903,1.0465751886367798,0.12791761755943298,0.038847148418426514,1.8041026092893615,6.964991436364125,232,449
5,2,0.03296496346592903,1.0462836027145386,0.13028134405612946,0.07769429683685303,1.8046050573237808,7.094349550051638,176,411
5,3,0.03296496346592903,1.0209405422210693,0.26336848735809326,0.11654144525527954,1.8493704856759172,14.45781162256135,99,391
5,4,-0.03296496346592903,1.035645604133606,0.19778978824615479,0.11654144525527954,-1.8231292477441545,10.806923502593822,99,391
5,5,0.09889489412307739,1.031440019607544,0.19778978824615479,-0.11654144525527954,5.476801061132866,10.80692248064857,105,404
5,6,0.03296496346592903,1.0467188358306885,0.12673692405223846,-0.07769429683685303,1.8038551855851028,6.900389611060826,200,411
5,7,0.06592992693185806,1.0457534790039062,0.12174676358699799,-0.038847148418426514,3.607459783800339,6.627448575956218,259,439
6,0,0.16482481360435486,1.029660701751709,0.15937691926956177,0.0,9.094568627992107,8.68983927676318,144,394
6,1,0.06592992693185806,1.0335265398025513,0.20061296224594116,0.038847148418426514,3.6500224505893297,10.963073183162901,232,430
6,2,0.0,1.0298326015472412,0.22850430011749268,0.07769429683685303,0.0,12.51038858529527,152,414
6,3,0.0,1.0493319034576416,0.10803687572479248,0.11654144525527954,0.0,5.87833354139408,71,405
6,4,0.0,0.9135518670082092,0.5274394154548645,-0.11654144525527954,0.0,29.999999992838863,70,402
6,5,0.09889489412307739,1.0366008281707764,0.16866491734981537,-0.07769429683685303,5.449698886810533,9.200530334409196,180,403
6,6,0.09889489412307739,1.0327013731002808,0.19109423458576202,-0.038847148418426514,5.470152232154525,10.436913359278304,238,430
7,0,0.06592992693185806,1.049443006515503,0.08421389013528824,0.0,3.594810350631657,4.578952913958324,176,395
7,1,0.0,1.0367307662963867,0.19482989609241486,0.038847148418426514,0.0,10.643298182551577,240,437
7,2,-0.03296496346592903,1.0327523946762085,0.21237966418266296,0.07769429683685303,-1.8282332012132858,11.61479516847886,170,410
7,3,0.0,1.0493319034576416,0.10803687572479248,0.11654144525527954,0.0,5.87833354139408,79,405
7,4,0.2966846823692322,0.9927874207496643,-0.19778978824615479,0.11654144525527954,16.638254222030394,-10.806922729214605,79,405
7,5,0.03296496346592903,1.0173087120056152,0.27706611156463623,-0.11654144525527954,1.8559681982666891,15.227485252946305,105,410
7,6,0.03296496346592903,1.0458651781082153,0.13359858095645905,-0.07769429683685303,1.8053265571888242,7.275951736516367,180,421
7,7,0.0,1.0428358316421509,0.15894271433353424,-0.038847148418426514,0.0,8.665982404210997,247,446
8,0,-0.09889489412307739,1.0442726612091064,0.11173097044229507,0.0,-5.409900640305092,6.080076071312864,220,381
8,1,0.26371970772743225,0.9924529790878296,-0.24136756360530853,0.0,14.881041389126823,-13.22706309585988,220,381
8,2,-0.06592992693185806,1.0487351417541504,0.09261329472064972,0.038847148418426514,-3.5972303707698416,5.036778957594007,270,431
8,3,-0.09889489412307739,1.0482503175735474,0.064501091837883,0.07769429683685303,-5.389493512976958,3.505565779097951,189,412
8,4,-0.16482481360435486,1.0321543216705322,0.1423364281654358,0.11654144525527954,-9.072962622524111,7.754661112963682,114,409
8,5,-0.06592992693185806,1.0525469779968262,-0.023822980001568794,-0.15538859367370605,-3.5842368955575497,-1.294055935903143,71,402
8,6,0.2966846823692322,0.8201587796211243,0.5933693647384644,-0.15538859367370605,19.887111511079908,34.2288664401979,71,402
8,7,-0.11867386847734451,1.2577937841415405,0.07911591231822968,-0.11654144525527954,-5.389947376245126,3.5833215266937097,131,405
8,8,-0.09889489412307739,1.048761248588562,0.0555788092315197,-0.07769429683685303,-5.386883331915754,3.0201633061086604,220,414
8,9,-0.06592992693185806,1.0497570037841797,0.08020495623350143,-0.038847148418426514,-3.5937379099977607,4.360543137388414,278,443
9,0,-0.06592992693185806,1.0495141744613647,-0.08332166075706482,0.0,-3.59456722435523,-4.530338127410675,229,383
9,1,0.26371970772743225,0.9016759395599365,0.4797934591770172,0.0,16.30299776710815,27.054174815864126,229,383
9,2,-0.06592992693185806,1.0527167320251465,-0.01449650153517723,0.038847148418426514,-3.58366043191472,-0.7874027328836587,277,429
9,3,-0.06592992693185806,1.052765130996704,-0.010399002581834793,0.07769429683685303,-3.5834961089301403,-0.5648313357871471,218,388
9,4,-0.09889489412307739,1.0500737428665161,0.018283966928720474,0.11654144525527954,-5.380189764554639,0.9931440079219658,124,398
9,5,-0.09889489412307739,1.0463907718658447,-0.08975290507078171,0.15538859367370605,-5.399014660135044,-4.880832937180357,81,392
9,6,-0.09889489412307739,1.0463907718658447,-0.08975290507078171,-0.11654144525527954,-5.399014660135044,-4.880832937180357,137,407
9,7,-0.06592992693185806,1.0512479543685913,-0.0574486181139946,-0.07769429683685303,-3.5886543580786188,-3.1218681103788795,225,414
9,8,-0.06592992693185806,1.0514538288116455,-0.0535493865609169,-0.038847148418426514,-3.587953535998786,-2.909787260651738,280,447
10,0,0.0,1.0547919273376465,0.013544241897761822,0.0,0.0,0.7356761378029674,245,395
10,1,-0.06592992693185806,1.052809715270996,-0.0037859848234802485,0.038847148418426514,-3.583344750827615,-0.20563633244932902,273,444
10,2,-0.06592992693185806,1.052663803100586,0.01793273724615574,0.07769429683685303,-3.5838401521134413,0.9740641217825611,199,418
10,3,-0.09889489412307739,1.0500737428665161,0.018283966928720474,0.11654144525527954,-5.380189764554639,0.9931440079219658,118,413
10,4,0.0,1.0493319034576416,0.10803687572479248,-0.15538859367370605,0.0,5.87833354139408,80,410
10,5,0.0,1.0547685623168945,-0.01525215432047844,-0.11654144525527954,0.0,-0.8284501472887693,146,408
10,6,0.0,1.0548295974731445,-0.010189622640609741,-0.07769429683685303,0.0,-0.5534583172675317,238,421
10,7,-0.06592992693185806,1.052392601966858,-0.029872385784983635,-0.07769429683685303,-3.5847612982556942,-1.6227366176445976,238,421
10,8,-0.06592992693185806,1.0526043176651,-0.02113681100308895,-0.038847148418426514,-3.5840421564361407,-1.1481234325713228,279,465
10,9,0.0,1.054863691329956,-0.005651595536619425,-0.038847148418426514,0.0,-0.3069680723293137,279,465
11,0,0.0,1.0546419620513916,0.022352147847414017,0.0,0.0,1.2141485716148461,216,416
11,1,-0.03296496346592903,1.054155707359314,0.02093941904604435,0.038847148418426514,-1.7911376431600279,1.137399931670227,268,436
11,2,-0.06592992693185806,1.0518817901611328,0.04435520991683006,0.07769429683685303,-3.5864975770200456,2.4098651010394945,195,409
11,3,0.0,1.050106406211853,0.10022947937250137,0.11654144525527954,0.0,5.452192126566969,120,399
11,4,0.0,1.2633533477783203,-0.07953739166259766,-0.11654144525527954,0.0,-3.6024364739007844,146,398
11,5,-0.03296496346592903,1.0541105270385742,0.023100724443793297,-0.07769429683685303,-1.791214363252565,1.2548169485222607,228,419
11,6,-0.03296496346592903,1.0543025732040405,0.011343774385750294,-0.038847148418426514,-1.7908882976357137,0.6161493844377028,268,465
11,7,0.0,2.0921623706817627,0.271907776594162,-0.038847148418426514,0.0,7.404937250769193,72,446
12,0,0.0,1.2658138275146484,-0.010155849158763885,0.0,0.0,-0.45968435249997114,212,390
12,1,0.0,1.2627009153366089,0.08929938822984695,0.038847148418426514,0.0,4.04527594090338,243,423
12,2,0.0,1.2613003253936768,0.10728201270103455,0.07769429683685303,0.0,4.861686892648574,168,403
12,3,0.0,1.2591983079910278,0.1296442449092865,0.11654144525527954,0.0,5.878333162505145,75,408
12,4,0.11867386847734451,1.2577937841415405,-0.07911591231822968,0.11654144525527954,5.389947376245126,-3.5833215266937097,75,408
12,5,0.0,1.2633533477783203,0.07953739166259766,-0.11654144525527954,0.0,3.6024364739007844,105,402
